SIL-ENCE 1.0	sil
abaqashwa 1.0	a b_< a !\ a S w a
abaqashwe 1.0	a b_< a !\ a S w E
abaqeda 1.0	a b_< a !\ E d a
abaqeqesheke 1.0	a b_< a !\ E !\ E S E k E
abaqeqeshiwe 1.0	a b_< a !\ E !\ E S i w E
abaqhuba 1.0	a b_< a !\h u b_< a
abaqhudelani 1.0	a b_< a !\h u d E l a n i
abaqokiwe 1.0	a b_< a !\ O k i w E
abaqondene 1.0	a b_< a !\ O n d E n E
abaqoqa 1.0	a b_< a !\ O !\ a
abaqoqi 1.0	a b_< a !\ O !\ i
abaqotho 1.0	a b_< a !\ O t_h O
abarejistiwe 1.0	a b_< a r E d_0Z i s t_> i w E
abarimi 1.0	a b_< a r i m i
abasafufusa 1.0	a b_< a s a f u f u s a
abasangena 1.0	a b_< a s a N g E n a
abasazobulawa 1.0	a b_< a s a z O b_< u l a w a
abase 1.0	a b_< a s E
abase 1.0	E b E s
abasebangeni 1.0	a b_< a s E b_< a N g E n i
abasebenza 1.0	a b_< a s E b_< E n dz a
abasebenzayo 1.0	a b_< a s E b_< E n dz a j O
abasebenzi 1.0	a b_< a s E b_< E n dz i
abasebenzisa 1.0	a b_< a s E b_< E n dz i s a
abasebenzisi 1.0	a b_< a s E b_< E n dz i s i
abasekelayo 1.0	a b_< a s E k E l a j O
abasekhona 1.0	a b_< a s E k_h O n a
abaselivini 1.0	a b_< a s E l i v i n i
abasemagunyeni 1.0	a b_< a s E m a g u J E n i
abasemajele 1.0	a b_< a s E m a d_0Z E l E
abasemazingeni 1.0	a b_< a s E m a z i N g E n i
abasembonini 1.0	a b_< a s E m b O n i n i
abasemishadweni 1.0	a b_< a s E m i S a d w E n i
abasemqoka 1.0	a b_< a s E m !\ O k a
abasenzile 1.0	a b_< a s E n dz i l E
abasesesiswini 1.0	a b_< a s E s E s i s w i n i
abasha 1.0	a b_< a S a
abashadikazi 1.0	a b_< a S a d i k a z i
abashana 1.0	a b_< a S a n a
abashayeli 1.0	a b_< a S a j E l i
abashibhile 1.0	a b_< a S i b i l E
abashicilele 1.0	a b_< a S i |\ i l E l E
abashumayela 1.0	a b_< a S u m a j E l a
abasifazane 1.0	a b_< a s i f a z a n E
abasikhethile 1.0	a b_< a s i k_h E t_h i l E
abasiza 1.0	a b_< a s i z a
abasizi 1.0	a b_< a s i z i
abasmthethweni 1.0	a b_< a s m t_h E t_h w E n i
abasohleni 1.0	a b_< a s O K E n i
abasukwa 1.0	a b_< a s u k w a
abasunguli 1.0	a b_< a s u N g u l i
abathandanayo 1.0	a b_< a t_h a n d a n a j O
abathathabathe 1.0	a b_< a t_h a t_h a b_< a t_h E
abathathe 1.0	a b_< a t_h a t_h E
abathathu 1.0	a b_< a t_h a t_h u
abathembu 1.0	a b_< a t_h E m b u
abathengi 1.0	a b_< a t_h E N g i
abathengisa 1.0	a b_< a t_h E N g i s a
abathi 1.0	a b_< a t_h i
abathile 1.0	a b_< a t_h i l E
abathinteka 1.0	a b_< a t_h i n t_> E k a
abathintekayo 1.0	a b_< a t_h i n t_> E k a j O
abathize 1.0	a b_< a t_h i z E
abathokozela 1.0	a b_< a t_h O k O z E l a
abathola 1.0	a b_< a t_h O l a
abathumela 1.0	a b_< a t_h u m E l a
abathwala 1.0	a b_< a t_h w a l a
abathwali 1.0	a b_< a t_h w a l i
abatshali 1.0	a b_< a tS_> a l i
abavakashi 1.0	a b_< a v a k a S i
abavela 1.0	a b_< a v E l a
abavele 1.0	a b_< a v E l E
abavelele 1.0	a b_< a v E l E l E
abavoti 1.0	a b_< a v O t_> i
abavunyelwe 1.0	a b_< a v u J E l w E
abawabayo 1.0	a b_< a w a b_< a j O
abawanikeziwe 1.0	a b_< a w a n i k E z i w E
abawenzile 1.0	a b_< a w E n dz i l E
abawubonayo 1.0	a b_< a w u b_< O n a j O
abawufundele 1.0	a b_< a w u f u n d E l E
abawusebenzisayo 1.0	a b_< a w u s E b_< E n dz i s a j O
abaxekekile 1.0	a b_< a |\|\ E k E k i l E
abaxhasi 1.0	a b_< a |\|\h a s i
abaxolelwa 1.0	a b_< a |\|\ O l E l w a
abaye 1.0	a b_< a j E
abayibhekayo 1.0	a b_< a j i b E k a j O
abayifunayo 1.0	a b_< a j i f u n a j O
abayisisekelo 1.0	a b_< a j i s i s E k E l O
abayitholayo 1.0	a b_< a j i t_h O l a j O
abayizihlabathi 1.0	a b_< a j i z i K a b_< a t_h i
abayizihlobo 1.0	a b_< a j i z i K O b_< O
abayizingqalabutho 1.0	a b_< a j i z i N !\g_0 a l a b_< u t_h O
abayizinhlangano 1.0	a b_< a j i z i n K a N g a n O
abayizintandane 1.0	a b_< a j i z i n t_> a n d a n E
abayizisulu 1.0	a b_< a j i z i s u l u
abayoqeqeshelwa 1.0	a b_< a j O !\ E !\ E S E l w a
abazali 1.0	a b_< a z a l i
abazama 1.0	a b_< a z a m a
abazange 1.0	a b_< a z a N g E
abaze 1.0	a b_< a z E
abazele 1.0	a b_< a z E l E
abazenzile 1.0	a b_< a z E n dz i l E
abazibandakanya 1.0	a b_< a z i b_< a n d a k a J a
abazibandakanye 1.0	a b_< a z i b_< a n d a k a J E
abazibekele 1.0	a b_< a z i b_< E k E l E
abazicubungulayo 1.0	a b_< a z i |\ u b_< u N g u l a j O
abazifundelwayo 1.0	a b_< a z i f u n d E l w a j O
abazihoshule 1.0	a b_< a z i h O S u l E
abazimele 1.0	a b_< a z i m E l E
abazinikelayo 1.0	a b_< a z i n i k E l a j O
abazinikele 1.0	a b_< a z i n i k E l E
abaziphethe 1.0	a b_< a z i p_h E t_h E
abazishilo 1.0	a b_< a z i S i l O
abazithola 1.0	a b_< a z i t_h O l a
abazitholayo 1.0	a b_< a z i t_h O l a j O
abazizwayo 1.0	a b_< a z i z w a j O
abazoba 1.0	a b_< a z O b_< a
abazobamba 1.0	a b_< a z O b_< a m b a
abazobe 1.0	a b_< a z O b_< E
abazokudla 1.0	a b_< a z O k u K\ a
abazolinikezwa 1.0	a b_< a z O l i n i k E z w a
abazomkhokhela 1.0	a b_< a z O m k_h O k_h E l a
abazonatshwa 1.0	a b_< a z O n a tS_> w a
abazophatha 1.0	a b_< a z O p_h a t_h a
abazoqashwa 1.0	a b_< a z O !\ a S w a
abazoxoxisana 1.0	a b_< a z O |\|\ O |\|\ i s a n a
abazozinakekela 1.0	a b_< a z O z i n a k E k E l a
abazwile 1.0	a b_< a z w i l E
abe 1.0	a b_< E
abe 1.0	E b
abebebhema 1.0	a b_< E b_< E b E m a
abebekuthwele 1.0	a b_< E b_< E k u t_h w E l E
abebondliwa 1.0	a b_< E b_< O n K\ i w a
abedirectorate 1.0	a b_< E d i r E |\ t_> O r a t_> E
abegcis 1.0	a b_< E |\g_0 i s
abehlukahlukene 1.0	a b_< E K u k a K u k E n E
abekade 1.0	a b_< E k a d E
abeke 1.0	a b_< E k E
abekhona 1.0	a b_< E k_h O n a
abekiwe 1.0	a b_< E k i w E
abekwa 1.0	a b_< E k w a
abekwe 1.0	a b_< E k w E
abekwenza 1.0	a b_< E k w E n dz a
abelaphi 1.0	a b_< E l a p_h i
abelekeleli 1.0	a b_< E l E k E l E l i
abelidla 1.0	a b_< E l i K\ a
abeluleki 1.0	a b_< E l u l E k i
abelungu 1.0	a b_< E l u N g u
abelwe 1.0	a b_< E l w E
abemathathu 1.0	a b_< E m a t_h a t_h u
abenelukuluku 1.0	a b_< E n E l u k u l u k u
abenguni 1.0	a b_< E N g u n i
abenza 1.0	a b_< E n dz a
abenze 1.0	a b_< E n dz E
abenzi 1.0	a b_< E n dz i
abephula 1.0	a b_< E p_h u l a
abeqile 1.0	a b_< E !\ i l E
abesars 1.0	a b_< E s a r s
abese 1.0	a b_< E s E
abesifazane 1.0	a b_< E s i f a z a n E
abesigceme 1.0	a b_< E s i |\g_0 E m E
abesimame 1.0	a b_< E s i m a m E
abesizulu 1.0	a b_< E s i z u l u
abesobozelwa 1.0	a b_< E s O b_< O z E l w a
abesouth 1.0	a b_< E s O u t_h
abeswele 1.0	a b_< E s w E l E
abet 1.0	a b_< E t_h
abet 1.0	E b E t_h
abethembekile 1.0	a b_< E t_h E m b E k i l E
abethula 1.0	a b_< E t_h u l a
abethuswa 1.0	a b_< E t_h u s w a
abeve 1.0	a b_< E v E
abeyibambe 1.0	a b_< E j i b_< a m b E
abezemidlalo 1.0	a b_< E z E m i K\ a l O
abezimboni 1.0	a b_< E z i m b O n i
abezindaba 1.0	a b_< E z i n d a b_< a
abezizwe 1.0	a b_< E z i z w E
abezokuthutha 1.0	a b_< E z O k u t_h u t_h a
abezomthetho 1.0	a b_< E z O m t_h E t_h O
abfake 1.0	a b_< f a k E
abhale 1.0	a b a l E
abhaleke 1.0	a b a l E k E
abhalise 1.0	a b a l i s E
abhaliwe 1.0	a b a l i w E
abhalwa 1.0	a b a l w a
abhalwanga 1.0	a b a l w a N g a
abhalwe 1.0	a b a l w E
abheke 1.0	a b E k E
abhekene 1.0	a b E k E n E
abhekiswe 1.0	a b E k i s w E
abike 1.0	a b_< i k E
abikele 1.0	a b_< i k E l E
abilayo 1.0	a b_< i l a j O
abingelele 1.0	a b_< i N g E l E l E
abo 1.0	a b_< O
abo 1.0	E b O
abolekise 1.0	a b_< O l E k i s E
abomndeni 1.0	a b_< O m n d E n i
abomnyango 1.0	a b_< O m J a N g O
abomvu 1.0	a b_< O m v u
abonakale 1.0	a b_< O n a k a l E
abone 1.0	a b_< O n E
abonge 1.0	a b_< O N g E
abonisane 1.0	a b_< O n i s a n E
abonise 1.0	a b_< O n i s E
abophayo 1.0	a b_< O p_h a j O
abosizo 1.0	a b_< O s i z O
abrahama 1.0	a b_< r a h a m a
abrahamu 1.0	a b_< r a h a m u
abrona 1.0	a b_< r O n a
absa 1.0	a b_< s a
abubusha 1.0	a b_< u b_< u S a
abucayi 1.0	a b_< u |\ a j i
abuke 1.0	a b_< u k E
abukeke 1.0	a b_< u k E k E
abunelisi 1.0	a b_< u n E l i s i
abuye 1.0	a b_< u j E
abuyekeze 1.0	a b_< u j E k E z E
abuyise 1.0	a b_< u j i s E
abuze 1.0	a b_< u z E
abuzwe 1.0	a b_< u z w E
acabange 1.0	a |\ a b_< a N g E
acacile 1.0	a |\ a |\ i l E
academy 1.0	a |\ a d E m j
academy 1.0	E k a d E m i
acangcathe 1.0	a |\ a N |\g_0 a t_h E
acatshangiwe 1.0	a |\ a tS_> a N g i w E
accords 1.0	a |\ |\ O r d s
accords 1.0	E k O d z
acebile 1.0	a |\ E b_< i l E
acela 1.0	a |\ E l a
aceliwe 1.0	a |\ E l i w E
achaza 1.0	a |\h a z a
achaze 1.0	a |\h a z E
achazwe 1.0	a |\h a z w E
achitha 1.0	a |\h i t_h a
acishe 1.0	a |\ i S E
acoboshise 1.0	a |\ O b_< O S i s E
act 1.0	a k t_h
act 1.0	a |\ t_h
actors 1.0	a k t_h E z
actors 1.0	a |\ t_> O r s
acubungule 1.0	a |\ u b_< u N g u l E
acwaninge 1.0	a |\ w a n i N g E
adabule 1.0	a d a b_< u l E
adambisa 1.0	a d a m b i s a
adinga 1.0	a d i N g a
adingeka 1.0	a d i N g E k a
adingekayo 1.0	a d i N g E k a j O
adingekela 1.0	a d i N g E k E l a
adingida 1.0	a d i N g i d a
adlale 1.0	a K\ a l E
adlule 1.0	a K\ u l E
administrator 1.0	a d m E n E s t_h r E t_h E r
administrator 1.0	a d m i n i s t_h r a t_> O r
adoni 1.0	a d O n i
adume 1.0	a d u m E
adumise 1.0	a d u m i s E
aduze 1.0	a d u z E
adwetshelwe 1.0	a d w E tS_> E l w E
afa 1.0	a f a
afaka 1.0	a f a k a
afake 1.0	a f a k E
afakela 1.0	a f a k E l a
afakele 1.0	a f a k E l E
afakelwe 1.0	a f a k E l w E
afakwe 1.0	a f a k w E
afana 1.0	a f a n a
afanayo 1.0	a f a n a j O
afane 1.0	a f a n E
afanele 1.0	a f a n E l E
